Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_16232,The Back Room,"Drumm, Kevin",2012-01-01,United States of America,"['The Back Room A', 'The Back Room B', 'The Back Room C', 'The Back Room D', 'The Back Room E']",
mbrainz_16241,Music From the Connection,"Chavez, Joey",,,"['Set It... (intro)', 'Dark Alleyways', 'Closing In', 'The Badlands', 'Cut to the Chase', 'Night Watch', 'Suspended', 'Blue Keys', 'Old Habits', 'The Dirty Sermon', 'A Matter of Time', 'The Way We Are (outro)']",
mbrainz_16252,Obscura,Gorguts,2012-01-01,Canada,"['Obscura', 'Earthly Love', 'The Carnal State', 'Nostalgia', 'The Art of Sombre Ecstasy', 'Clouded', 'Subtle Body', 'Rapturous Grief', 'La vie est prÃ©lude...', 'Illuminatus', 'Faceless Ones', 'Sweet Silence']",29.17 minutes
mbrainz_16257,Renegades of Funk,Rage Against the Machine,2000-01-01,United States of America,"['Renegades of Funk (radio edit)', 'Renegades of Funk']",
mbrainz_16258,Hold My Finger / Such the Fool (release),SikTh,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Hold My Finger', 'Such the Fool']",
mbrainz_16260,Submarine,"Bissonette, Gregg feat.",2000-04-25,,"['Marbles', 'Submarine', 'No Hay Parqueo', 'Lum Lum', 'Train To Willoughby', ""Noah's Ark"", 'Cloudy Day', 'The Son Man', 'Sasquatch', '12 to 3', 'So Many Notes & So Little Time']",
mbrainz_16261,The Diary of the Missed One,Krobak,2008-02-14,Ukraine,"['Park Luny', 'By the Music of Autumn Trees', ""The Fried Bull's Blues""]",
mbrainz_16268,Echoes and Rhymes,"Primitives, The",2012-04-30,Spain,"['Panic', 'Turn Off the Moon', 'Move It on Over', 'Sunshine in My Rainy Day Mind', 'Till You Say Youâ€™ll Be Mine', 'Iâ€™m Not Sayinâ€™', 'The Witch', 'I Surrender', 'Amoureux dâ€™une affiche', 'Where Will You Be?', 'Single Girl', 'Who Are You Trying to Fool?', 'Time Slips Away', 'Wild Flower']",
mbrainz_16272,Rusty Medals and Broken Badges,Over My Dead Body,,,"['Maggie & Ronnie', 'Rusty Medals and Broken Badges', 'True Till Tomorrow', 'Let It All Burn', 'The Real Cancer', 'To the Core', 'Cloak & Dagger', 'Breakaway', 'Silver Platter Hardcore', 'C. A. N. E. S.', 'Cut Out Your Eyes to Spite Millions', '96 and Counting', 'When Saturday Comes']",
mbrainz_16275,Chrome Matrix,Superheist,1997-09-08,Australia,"['Chrome Matrix', 'Subhuman', 'Platinum Matrix', 'Truckasaurus', 'Drift']",
mbrainz_16280,Monster Club (orig.),Groovie Ghoulies,2003-01-01,United States of America,"['Deviltown', 'The Lizard King', 'Lookout, Here Comes Tomorrow', 'The King Kong Stomp', 'The Beast With Five Hands', ""Don't Go Out Into the Rain (You're Gonna Melt)"", 'Blood Beach', 'The Blob', '50,000 Spaceships (Watching Over Me)', 'Do the Bat', 'Running With Bigfoot', 'Pet Sematary']",
mbrainz_16282,A Space in the Loveless Field,Hotel Mexico,2012-04-08,United Kingdom of Great Britain and Northern Ireland,"['A Space in the Loveless Field', 'Wolves Running Through the Desert']",
mbrainz_16285,Beyond the Mirror,Jael,1994-01-01,Switzerland,"['Beyond the Mirror', 'Cadence', 'OcÃ©ane', 'CafÃ© SablÃ©', 'Crystal Henge', 'Maze in the Mirror', 'Angel Vox', 'Sirocco', 'Niebla en Buenos Aires', 'Memory of Life', 'Spring Source', 'Los Ojos del Guadiana', 'Moto Perpetuo']",
mbrainz_16291,Casino aquatique,Dirty Doering,2011-11-24,Germany,Casino aquatique,
mbrainz_16293,The Punk Singles Collection (album),UK Subs,1998-01-01,United Kingdom of Great Britain and Northern Ireland,"['C.I.D.', 'Stranglehold', 'Tomorrows Girls', 'Sheâ€™s Not There', 'Warhead', 'Teenage', 'Party in Paris', 'Keep On Running (Til You Burn)', 'Countdown', 'Self Destruct', 'Another Typical City', 'Private Army', 'This Gun Says', 'Motivator', 'Sabre Dance', 'Hey Santa', 'Here Comes Alex', 'Postcard From L.A.', 'Betrayal', 'New Barbarians', 'Limo Life']",
mbrainz_16299,This Season Needs Torches,Sweet Empire,2011-09-01,Netherlands,"['Western Gates', 'On Fake Borders', 'Thank You', 'Pro-Life Versus Pro-Choice', 'Torches', 'Apathy', 'Emma', 'Dirt', 'Poisoned Heritage', 'Medicines', 'Ties, Lies & Suitcases', 'No Road Untraveled']",
mbrainz_16310,Funeral Black,Bahimiron,2002-12,United States of America,"['Thy Cursed Flame', 'Funeral Black', 'Blood From an Open Wound']",
mbrainz_16317,Terria (bonus disc),"Townsend, Devin",2003-02-18,"Korea, Republic of","['Universal', 'Sit in the Mountain', 'Man']",
mbrainz_16320,The Last Fallen Saviour,Paradise Lost,2012-04-11,United States of America,The Last Fallen Saviour,
mbrainz_16327,Deep Trouble EP,Morgenklang,2010-11-01,United States of America,"['Man With the Red Piano', 'Deep Trouble']",
mbrainz_16332,Meantime,Kwes.,2012-04-30,United Kingdom of Great Britain and Northern Ireland,"['Klee', 'Bashful', 'Honey', 'LGOYH']",
mbrainz_16334,Shelter,Golden Parazyth,2011-01-01,Lithuania,"['Regatta of Happiness', 'Izabelle (original version)', 'Izabelle (ShkÄ—ma remix)', 'Izabelle (K@ remake)']",
mbrainz_16339,The Greatest Songs of the Seventies,"Manilow, Barry",2007-09-18,United States of America,"['The Way We Were', 'My Eyes Adored You', 'Bridge Over Troubled Water', 'How Can You Mend a Broken Heart?', 'It Never Rains in Southern California', 'Youâ€™ve Got a Friend', 'He Ainâ€™t Heavy, Heâ€™s My Brother', 'Sailing', 'The Long and Winding Road', '(They long to Be) Close to You', 'If', 'Sorry Seems to Be the Hardest Word', 'Mandy (acoustic)', 'Weekend in New England (acoustic)', 'Copacabana (At the Copa) (acoustic)', 'Even Now (acoustic)', 'Looks Like We Made It (acoustic)', 'I Write the Songs (acoustic)']",
mbrainz_16349,Spirits,Fiction 8 feat.,1996-01-01,Germany,"['Second Skin', 'Time for Me', 'Pleasure in Pain', 'Feed the Chaos', 'Happy House', 'Lost & Jaded', 'Inside Dave', 'Isolation', 'Mystery Tour', 'Imperfekt', 'Tommyknockers', 'Method of Madness', 'Nothing Undone']",
mbrainz_16358,Room for Squares,"Mayer, John",2001-06-05,United States of America,"['No Such Thing', 'Why Georgia', 'My Stupid Mouth', 'Your Body Is a Wonderland', 'Neon', 'City Love', '83', 'Love Song for No One', 'Back to You', 'Great Indoors', 'Not Myself', 'St. Patrickâ€™s Day']",
mbrainz_16360,Fear Fun,Father John Misty,2012-05-01,United States of America,"['Funtimes in Babylon', 'Nancy From Now On', 'Hollywood Forever Cemetery Sings', ""I'm Writing a Novel"", 'O I Long to Feel Your Arms Around Me', ""Misty's Nightmares 1 & 2"", 'Only Son of the Ladiesman', 'This Is Sally Hatchet', 'Well, You Can Do It Without Me', ""Now I'm Learning to Love the War"", 'Tee Pees 1-12', 'Everyman Needs a Companion']",
mbrainz_16361,Broken Sunlight Series 1,"Nuâ€?Mark, DJ",2012-04-24,United States of America,"[""Dumpin' Em All"", ""Dumpin' Em All (clean)"", ""Dumpin' Em All (instrumental)"", 'When You Sleep', 'When You Sleep (clean)', 'When You Sleep (instrumental)']",
mbrainz_16368,Love Is Always Painful,Slaktare,2010-07-10,Japan,"['Love Is Always Painful', ""Now That You're Gone"", 'Welcome Home', 'I Hate You']",
mbrainz_16371,From the Dying Soil to the Eternal Sea,Kraken Duumvirate feat.,2008-02,Finland,"['I Descend', 'From the Dying Soil to the Eternal Sea', 'Devour Me']",
mbrainz_16373,The Eternal Traveller,"Pedersen, Niels-Henning Ã˜rsted",1998-01-01,United States of America,"['Moto Perpetuo (prologue)', 'En elefant kom marcherende', 'Jeg gik mig ud en sommerdag', 'Det haver sÃ¥ nyeligen regnet', 'Hist hvor vejen slÃ¥r en bugt', 'Jeg ved en lÃ¦rkerede', 'Sig mÃ¥nen langsomt hÃ¦ver', 'Dawn', 'The Eternal Traveller', 'Skul gammel venskab rejn forgo', 'Moto Perpetuo (epilogue)']",
mbrainz_16375,The Fallen Kingdom,Black Tusk,2007-01-01,United States of America,"['Unchanged', 'Suicide Pact', 'Head in a Noose', 'Facedriver', 'Triumph of the Wolves', 'Way Past Dead', 'For the Dying', 'The Ending of Light']",
mbrainz_16376,Subterranean Ascension: Songs for the Urban Shaman,Zen Debris,2006-11-07,United States of America,"['Whitestone', 'Underbelly', 'Concrete Horizon', 'Vulture Song', 'AshÃ©', 'Sky Burial', 'Threshold', 'Without a Tongue', 'Desert Son', 'North']",
mbrainz_16389,EnchantÃ©,Margaret Doll Rod,2002-01-01,United States of America,"[""Who's Gonna Rub Me"", ""Hot 'n' Easy"", 'Dew Drop Inn', 'Hey Gyp', 'Pink Taxi Cab', 'Shredded', 'Greater Than This', 'Hidden Charms', 'Bring Me Home', 'Boom Boom']",
mbrainz_16390,The Good Life,"Crayon Fields, The",2004-01-01,Australia,"['Sweet Little Kids in Your Sad Little Town', 'The Good Life', 'Do It First', 'Lovers in Your Carpets', 'Get Off the Good Ship', 'Soak With Me in the Sun']",
mbrainz_16400,Elephants at the Door,Dumbo Gets Mad,2011-02-02,Italy,"[""Limbo's Village"", 'Plumy Tale', 'Marmelade Kids', 'Sleeping Over', 'Harmony', 'Why Try?', 'Eclectic Prawn', 'Self Esteem', 'Raymond Play', 'You Make You Feel']",20.88 minutes
mbrainz_16405,Cerulean Legacy,PrzemysÅ‚aw RudÅº,,,"['Farewell to Trangui Existence', 'Mystery of ALH 84001', ""Gaia's Prophetic Dream"", 'Two Days After Extinction', 'The Power of Mind (A Tribute to Prof. Stephen Hawking)']",
mbrainz_16406,Two Electronic Sonorities,"Palestine, Charlemagne",2012-01-01,Italy,"['Crown Chan 1 & 2 + 3 & 4', 'Gus Solomon Dance Concert', 'Continuous Sound']",
mbrainz_16409,The Ultimate Devotion,"Rizzo, Marc",,,"['The Ultimate Devotion', 'Ascension', 'Sinceramente', 'The Riddle of Steel', ""Skankin' to the Shred"", 'Mamasita', 'Trentinarra', ""Angelina's Song"", 'Lived and Learned', 'All for Nothing']",
mbrainz_16420,Comfort Eagle Sampler,CAKE,2001-01-01,United States of America,"['Shadow Stabbing', 'Short Skirt/Long Jacket', 'Commissioning a Symphony in C', 'Love You Madly', 'Comfort Eagle']",
mbrainz_16423,Homesick,Wings of Steel,1992-01-01,Netherlands,"['Trees of Stone', 'Living on a Dream', 'Too Many People', 'On Your Own', 'Crazy World', 'The Unborn Child', 'Narrow Minded', 'Make It Alone', 'Runnng on the Edge', 'Surrounded']",
mbrainz_16465,Original Album Classics,Karat,2011-10-07,Germany,"['Das Monster', 'MÃ¤rchenzeit', 'Die Burg', 'Reggae Rita Star', 'KÃ¶nig der Welt', ""Rock'n Roll Fan"", 'Und ich liebe dich', 'Ballade von den sieben Geistern', 'He, Manuela', 'Abendstimmung', 'Introduktion', 'He, Mama', 'Blues', 'Wilder Mohn', 'Musik zu einem nichtexistierenden Film', 'Auf den Meeren', 'Das, was ich will', 'Gewitterregen', 'Albatros', 'Wenn das Schweigen bricht', 'Ãœber sieben BrÃ¼cken muÃŸt du gehn', 'Tanz mit der Sphinx', 'Mitternacht-Blues', 'Magisches Licht', 'Der Boxer', 'Le Doyen I', 'Das Narrenschiff', 'Tiefsee', 'GroÃŸstadt', 'SchwanenkÃ¶nig', 'Le Doyen II', 'Tanz mit mir', 'â€¦und der Mond schien rot', 'Panoptikum', 'Kalter Rauch', 'Unterwegs nach Haus', 'Don Alfredo', 'Die sieben Wunder der Welt', 'Mich zwingt keiner auf die Knie', 'Flipper', 'Unterwegs nach Haus (Instrumental)', 'Fetzen aus Samt', 'FÃ¼nfte Jahreszeit', 'Der FahrradverkÃ¤ufer', 'In deiner Gallerie', 'Hab den Mond mit der Hand berÃ¼hrt', 'Der DoppelgÃ¤nger', 'Aus zweiter Hand', 'Er kam, sah und siegte', 'Der Liebe Fluch', 'Die Glocke Zweitausend']","['2581', '2714', '2656', '2545']"
mbrainz_16469,Moment of Truth,"Nunn, Terri",1991-01-01,United States of America,"['Confession Time', 'Desire Me', 'Once Upon a Time', 'Moment of Truth', 'Let Me Be the One', '89 Lines', ""Who's Gonna Take You Home Tonight"", 'Go Ask the Lonely', 'Too Far to Fall', 'Fly by Night', 'Diane']",
mbrainz_16471,Warchants From the Woods,Cyhiriaeth,2006-10-13,Germany,"['Intro', 'Premonition of Crows', 'Sons of the Honourless God', 'Laying in the Shadows', 'Through the Melancholy Forest', '...and the Vultures Will Carry My Soul', 'Nimidi Fiduenearum', 'Intro / The Path', 'The Wanderer', 'Falling & Rising']",
mbrainz_16473,The Resurrection of Everything Tough,Beyond the Sixth Seal,2007-05-01,United States of America,"['Nothing to Prove', 'My Terrifying Ally', 'I Die at 35', 'Revelry', 'Stricken', 'The Twisted Ladder', 'Feral Dreamer', 'The Law You Have Sworn', 'Forward Thinking', 'Yawning of the Gale', 'Everything Tough', 'Blood of a Ghost', 'Monument']",
mbrainz_16478,As Bright as a Thousand Suns,Arcana,2012-05-28,Canada,"['Somnolence', 'As the End Draws Near', 'Inceptus', 'Medea', 'Leave Me Be', 'Infinity', 'In Memoriam', 'The Fading Shadow', 'As Bright as a Thousand Suns', 'Vinter']",
mbrainz_16484,Welcome to the Blackout (orig.),Sierra Sam,2012-05-07,Germany,"['Welcome to the Blackout', ""Welcome to the Blackout (Inxec's Post Apocalyptic Fix)"", 'Chambers', 'Welcome to the Blackout (a cappella)']",
mbrainz_16498,Hummingbird,Imaginary Cities (and others),2011-01-14,Germany,"['Hummingbird', 'Ride This Out', 'Marry the Sea']",
mbrainz_16509,Get Ready,"Mighty Diamonds, The",,,"['Schoolmate', 'Another Day Another Raid', ""Tonight I'm Gonna Take It Easy"", ""Idlers' Corner"", 'My Baby', 'Get Ready', 'Up Front', 'Modeller', 'Sensemilla', ""Cannot Say You Didn't Know"", 'Bad Boy Business', 'Mr. Bodyguard (12"" mix)']",
mbrainz_16538,Graveyard of Empires,Evans Blue,2012-04-17,United States of America,"['This Time Itâ€™s Different', 'Crawl Inside', 'Thank You', 'Beyond the Stars', 'Graveyard of Empires', 'Alone Not Lonely', 'In the Shadow', 'Live to Die', 'Destroy the Obvious', 'Warrior', 'Underwater', 'Halo']",
mbrainz_16550,The Music Composed by Vangelis O. Papathanassiou,"Close Call, A (and others)",,Belgium,"['Hymne', 'Pulstar', 'Antarctica', 'Alpha', 'I Hear You Know', 'State of Independence', 'Chariots of Fire', ""Eric's Theme"", 'Spiral', 'Dervish D', 'To the Unknown Man', ""I'll Find My Way Home""]",
mbrainz_16566,Deep Cuts From Dark Clouds,16,2012-04-24,United States of America,"[""Theme From 'Pillpopper'"", 'Parasite', 'Her Little ""Accident""', 'The Sad Clown', 'Ants in My Bloodstream', 'Broom Pusher', 'Opium Hook', 'Bowels of a Baby Killer', 'Beyond Fixable', 'Only Photographs Remain']",
mbrainz_16569,White Elephant,Ladytron,2011-05-17,Canada,White Elephant,
mbrainz_16571,The Promise of Tomorrow,Sky Architects,2012-05-05,,"['The Promise', 'Fade Out', ""We'll Never Forget This"", 'All Free Must Fly', 'Waves of Light', 'The Dark Wave', 'Breach These Walls', 'Ignite', 'Endzeit', 'Procession of Hearts']",
mbrainz_16581,Chrome Molly,Die Monster Die,1992-01-01,United States of America,"['Planet', 'Scream Machine', 'Tongues', 'Seed', 'Static', 'Marshmellow', 'Blackwater Trailer Park', 'Swallow', 'Descension', 'Portrait', 'Seven']",
mbrainz_16582,Purple Reign in Blood,Fenix TX,2005-11-08,United States of America,"['Something Bad Is Gonna Happen', 'Phoebe Cates', 'Katie W.', 'Minimum Wage', 'Tearjerker', 'Pasture of Muppets', 'Fortunate Son', 'Threesome', 'Abba Zabba', 'A Song for Everyone', ""Flight 601 (All I've Got Is Time)"", 'Major Tom', 'All My Fault']",
mbrainz_16585,Celebration Rock,Japandroids,2012-06-05,United States of America,"['The Nights of Wine and Roses', 'Fireâ€™s Highway', 'Evilâ€™s Sway', 'For the Love of Ivy', 'Adrenaline Nightshift', 'Younger Us', 'The House That Heaven Built', 'Continuous Thunder']",
mbrainz_16589,Naked City,Avenue Blue,1996-01-23,,"['Funky Is as Funky Does', 'Naked City', ""Nitpickin'"", 'The Conversation', ""Baby I'm Yours"", ""Mamma Didn't Raise No Fool"", 'Wildflower', ""Keep the Ball Rollin'"", 'The Nite Owl', ""Tumblin'"", 'Yohimbe', 'Spooky', 'One More Excuse (To Play the Blues)']",
mbrainz_16595,Burials Foretold,Unto Ashes,2012-01-01,United States of America,"['Burials Foretold', 'Pilzentanz', 'She Binds Away the Night', 'Night Is Coming Soon', 'Kathyâ€™s Song', 'I Remember Happiness', 'Spring Magic', 'Piperâ€™s Song', 'Fire + Ice', 'Rubine', 'Wormsâ€™-Meat', 'Young Men Leave for Battles Unknown', 'Too Late to Begin', 'Ascent + Descent', 'Running With the Devil']",
mbrainz_16599,Dangerous Magical Noise,"Dirtbombs, The",2003-01-01,United States of America,"['Start the Party', 'Get It While You Can', ""Don't Break My Heart"", 'Sun Is Shining', 'Earthquake Heart', 'Thunder in the Sky', 'Motor City Baby', 'Stuck in Thee Garage', ""I'm Through With White Girls"", 'Stop', '21st Century Fox', 'Stupid', 'F.I.D.O.', ""King's Lead Hat"", 'Possession']",
mbrainz_16608,Absolution Tour,Muse,2005-12-12,United Kingdom of Great Britain and Northern Ireland,"['Hysteria', 'New Born', 'Sing for Absolution', 'Muscle Museum', 'Apocalypse Please', 'Ruled by Secrecy', 'Sunburn', 'Butterflies and Hurricanes', 'Bliss', 'Time Is Running Out', 'Plug In Baby', 'Blackout', 'Fury', 'The Small Print', 'Stockholm Syndrome', 'The Groove', 'Riff Rucas', 'Thoughts of a Dying Atheist', 'Endlessly']",
mbrainz_16630,Monster Monster EP,"Almost, The",2011-01-01,United States of America,"['Birmingham', 'July', 'Wrong', 'Out West', 'Me and Alone']",
mbrainz_16642,Black Metal Sacrifice,Watain,1998-01-01,Sweden,"['The Walls of Life Ruptured', 'On Horns Impaled', 'Midnight Possession', 'Angelrape', 'Song of Fucking Hell', 'Essence of Black Purity', 'The Mightiest of Maledictions']",
mbrainz_16648,Opposites,"Butler, Marley Starskey",2012-05-28,United Kingdom of Great Britain and Northern Ireland,"['Papa', '21 Opposites', 'Rowlands Avenue', 'Arnold Southfield', 'A Shape Overhead', 'Do You Know Where Your House Is?', 'Boddinstrasse', 'Never in the Woodpile']",
mbrainz_16657,Cascade / Lifeforms,"Future Sound of London, The",,Russian Federation,"['Cascade, Part 1', 'Cascade, Part 2', 'Cascade, Part 3', 'Cascade, Part 4', 'Cascade, Part 5', 'Shortform', 'Lifeforms (Path 1)', 'Lifeforms (Path 2)', 'Lifeforms (Path 3)', 'Lifeforms (Path 4)', 'Lifeforms (Path 5)', 'Lifeforms (Path 6)', 'Lifeforms (Path 7)']",
mbrainz_16682,Monsters Exist,Proudpilot,2009-05,Turkey,"['Astroaunt', 'Seeing Is Believing', 'Hardcore', 'Reading', 'O.B.D.', 'Ciao!', 'Gang Land', 'You Do, I Make', 'Dellule', 'First Contact', 'Bowery', 'Trans', 'Nicer']",
mbrainz_16689,Homesick for Space,Homesick for Space,2001-01-01,United States of America,"['Watch for Spiders', 'Suburban Doldrums', 'Days Like Shadows', 'Close to Perfect', 'Tonight I Awake']",
mbrainz_16690,The Conjoined,Project: Failing Flesh,2007-01-01,United States of America,"['Final Act of Treachery', 'Through the Broken Lens', 'Regenerate', 'The Conjoined', 'Motionless', 'Unsight Unseen', 'Eve of Demise', 'Synesthesia', 'Second Impact Syndrome', 'Surface Noise', ""The Hand That You've Been Dealt""]",
mbrainz_16705,Spirit,"Kater, Peter",1983-01-01,United States of America,"['To Share My Heart', 'Ascent', 'Spaces', 'Reflections', 'Spirit / Witchi-Tai-To', ""Summer's Innocence"", 'Passage']",
mbrainz_16712,Biophilia Remixes Part Five,BjÃ¶rk,2012-06-11,United Kingdom of Great Britain and Northern Ireland,"['Thunderbolt (King Cannibal remix)', 'Dark Matter (Alva Noto Remodel)']",
mbrainz_16714,King of California,"Alvin, Dave",1994-01-01,United States of America,"['King of California', 'Barn Burning', 'Fourth of July', 'Goodbye Again', 'East Texas Blues', 'Every Night About This Time', 'Bus Station', 'Mother Earth', 'Blue Wing', 'Little Honey', ""(I Won't Be) Leaving"", 'What Am I Worth', 'Border Radio']",
mbrainz_16722,Vessels,thisquietarmy,2011-05,United Kingdom of Great Britain and Northern Ireland,"['The Pacific Theater', 'Lost Crusades', 'Shipwrecks', 'The Black Sea', 'A Spanish Galleon', 'New Dawn Fades']",
mbrainz_16723,Echoes,"Young, Will",2011-08-22,United Kingdom of Great Britain and Northern Ireland,"['Jealousy', 'Come On', 'Lie Next to Me', 'I Just Want a Lover', 'Runaway', 'Outsider', 'Silent Valentine', 'Losing Myself', 'Personal Thunder', 'Hearts on Fire', 'Happy Now', 'Good Things', 'Safe From Harm']",
mbrainz_16736,Music Box (album),Hybrid,,,"['Opening Credits', 'Gravastar', 'Know Your Enemy', 'Celebrity Science', 'Out of the Dark', 'We Are in Control', 'Visible Noise', ""Vernon's Wonderland"", 'Dreaming Your Dreams', 'Never Gonna Come Back Down', 'Mody (feat. Bodyrock)', 'Kill City (edit)', 'Cafe Del Mar', 'This Is What It Means']",
mbrainz_16745,Taking the Music Back,Anthrax,2003-09-03,United Kingdom of Great Britain and Northern Ireland,"['Taking the Music Back', 'Ghost', 'Exit', 'Next to You']",
mbrainz_16773,Vespertine Live,BjÃ¶rk,2003-08-18,United Kingdom of Great Britain and Northern Ireland,"['Frosti', 'Overture', 'All Is Full of Love', 'Cocoon', 'Aurora', 'Undo', 'Unravel', 'Iâ€™ve Seen It All', 'An Echo, a Stain', 'Generous Palmstroke', 'Hidden Place', 'Pagan Poetry', 'Harm of Will', 'Itâ€™s Not Up to You', 'Unison', 'Itâ€™s in Our Hands']",
mbrainz_16776,Immersion,Arian 1,2010-03-26,Germany,"['Immersion', 'Sigma', 'Wake Up', 'No Time', 'Change', 'Stompers', 'Ionic Body', 'U209', 'The End', '2012']",
mbrainz_16794,Go Outside,"Curgenven, Robert",2012-06-23,France,Go Outside,
mbrainz_16798,Damnation Play,Warmath,1991-01-01,Finland,"['Damnation Play', 'The Hardest Core', 'Control Is the Cure', 'Slaveyard', 'Seeds of Disorder', 'The Land of the Living', 'Rope Trade Doing Well', 'The Fifth Season', 'The Darkest Age']",
mbrainz_16814,California Kicks,Fight Fair,2010-01-01,United States of America,"['California Girls', ""I've Got a Secret"", 'SexyFancyMoney', 'Diner Date', 'Wayo Beach', 'California Kicks', 'Party Girl', ""Livin' for the Summer"", 'Backseat Bingo', 'Going Nowhere', 'Love']",
mbrainz_16825,Monomania,Child Bite,2012-03-27,United States of America,"['Wrong Flesh', 'The Nab Munch Is On', 'Smear Where the Face Was', 'Vapor in the Orphan Loop', 'Begin the Hiss', 'Scum Gene (Trash Vibrato)']",
mbrainz_16828,The Complete Bossmen - The Singles '64-'67,"Bossmen, The",2008-10-14,United States of America,"['Take a Look', ""It's a Shame"", 'Thanks to You', 'Help Me Baby', ""Here's Congratulations"", 'Bad Girl', 'Wait and See', ""You're the Girl for Me"", 'On the Road', 'Tina Maria', 'Baby Boy', 'You and I', 'Rainy Day', 'Sunshine', 'Little Girl']",
mbrainz_16838,Universal Surrender,Mystigma,2005-05-09,Germany,"['Universal Surrender', 'Insomnia', 'Tomorrowless', 'Heartbroken, Left and Thrown Away', 'Thoughts Unspoken', 'Adrenalized', 'Shiver in June', 'Wrong With Me (For a Lifetime)', 'Addiction', ""I'm in Hate"", 'Staub der Worte', 'Into Nothing']",
mbrainz_16842,The Second Coming,Church of Misery,2004-06-09,Japan,"['I, Motherfucker (Ted Bundy)', 'Soul Discharge (Mark Essex)', 'Red Ripper Blues (Andrei Chikatilo)', 'Filth Bitch Boogie (Aileen Wuornos)', 'One Way... Or Another', 'Candyman (Dean Corll)', 'El Topo']",
mbrainz_16851,Cruelty Beyond Submission,Pyrexia,2004-01-01,United States of America,"['Life Long Hate', 'Ode to Brinn', 'No Apologies', 'Confrontation', 'Closure', 'System of the Animal', 'Hatred, Anger and Disgust', 'Bludgeoned by Deformity', 'Inhumanity', 'Resurrection', 'Sermon of Mockery']",
mbrainz_16855,Absolute Monster EP,"LaVice, Rene",2012-07-22,United Kingdom of Great Britain and Northern Ireland,"['Dank', 'Meow', 'Absolute Monster', 'Dungeon', 'Headlock VIP']",
mbrainz_16858,Let Go,Frou Frou,2002-01-01,United States of America,Let Go,
mbrainz_16863,Intimacy,Venus in Flames,2009-01-01,Belgium,"['Dreamers', 'Right Here', 'Let You Go', 'You & Me', 'Hanging On', 'You Could Be the One', 'Coming Home', 'Letter From a Girl', 'Elegy', 'God Knows Why']",
mbrainz_16881,Elephant,Indecadence,2012-01-01,Ukraine,"['Diario De Un Difunto', 'Tryouts', 'Sleepy', 'Dissapointed', 'Willow13', 'Lost Again', 'Hypocrite', 'Elephant', 'I Arrive To Me', 'Inside']",
mbrainz_16895,Philadelphia International Classics: The Tom Moulton Remixes,"Moulton, Tom",2012-01-01,United Kingdom of Great Britain and Northern Ireland,"['Backstabbers', '(Win Place or Show) Sheâ€™s a Winner', 'Slow Motion', 'Love Train', 'Iâ€™ll Always Love My Mama', 'The Love I Lost', 'Dirty Olâ€™ Man (12â€³ version)', 'The Whole Townâ€™s Talking', 'Love Epidemic', 'TSOP (The Sound of Philadelphia)', 'Year of Decision', 'Where Do We Go From Here', 'Love Is the Message', 'The Devil Made Me Do It', 'When Will I See You Again', 'Trusting Heart', 'Bad Luck', 'Trammps Disco Theme / Zing Went the Strings of My Heart', 'Do It Anyway You Wanna', 'I Love Music', 'Donâ€™t Leave Me This Way', 'Letâ€™s Groove', 'Youâ€™ll Never Find Another Love Like Mine', 'Where Will You Go When the Partyâ€™s Over', 'Jam Jam Jam (All Night long)', 'I Donâ€™t Love You Anymore', 'See You When I Git There', 'This Time Baby', 'Party Time Man', 'My Love Donâ€™t Come Easy', 'Nights Over Egypt']","['3746', '4048', '4466']"
mbrainz_16912,Undertow,"Meissner, Stan",1992-01-01,Canada,"['Itâ€™s No Secret', 'River of Fire', 'No Way Out', 'Someone Like You', 'If It Takes All Night', 'Shelter in the Heart', 'Day After Day', 'When I Look in Your Eyes', 'I Donâ€™t Believe Itâ€™s Over', 'The Lucky One']",
mbrainz_16922,Ablaze All Shrines,December's Cold Winter,2008-10-25,Costa Rica,"['Envenomed Cult', 'Your Sordid Pride', 'Ablaze All Shrines', ""Black Garden's Sculptures"", 'Manipulating Human Emotions', 'Kings of Lie', 'Consequences']",
mbrainz_16932,Greetings From Tennessee,Superdrag,2001-08,United States of America,"['Baby Goes to Eleven', 'Stu', ""I Guess It's American"", 'The Emotional Kind', 'Take Your Spectre Away', 'Bloody Hell', 'Liquor', 'Means So Much', 'Bastards of Young', 'You Really Got Me']",
mbrainz_16936,Deep Cuts,"Perfect Circle, A",2009-04-07,United States of America,"['Sleeping Beauty (acoustic)', 'Magdalena', 'BreÃ±a', 'Orestes (demo)']",
