wiki_ref,title,launch_yr,studio,system,franchise
dbpedia_51345,Planet Coaster,2016-01-01,Frontier Developments,PS4,
dbpedia_51346,ToeJam & Earl,1991-01-01,Johnson Voorsanger Productions,Sega Genesis,
dbpedia_51347,Racing (video game),1999-01-01,Tamsoft,Playstation,
dbpedia_51350,Tom Clancy's Rainbow Six: Lockdown,2006-01-01,Red Storm Entertainment,Xbox,Tom Clancy's Rainbow Six
dbpedia_51352,NBA 2K12,2011-01-01,Visual Concepts,IOS,NBA 2K
dbpedia_51353,TwinBee,1985-01-01,Konami,PlayStation Portable,
dbpedia_51358,Street Fighter X Tekken,2012-01-01,Capcom,IOS,
dbpedia_51359,Puyo Puyo (video game),2006-01-01,,N-Gage (device),Puyo Puyo
dbpedia_51360,Michael Jackson: The Experience,2011-01-01,PlayStation 3,3DS,
dbpedia_51363,Cheggers Party Quiz,2007-01-01,Oxygen Games,Wii,
dbpedia_51364,Tom Clancy's Rainbow Six: Vegas,2007-01-01,Ubisoft Montreal,PS3,Tom Clancy's Rainbow Six
dbpedia_51366,Buzz!: The Ultimate Music Quiz,2011-01-01,Relentless Software,PlayStation Portable,Buzz!
dbpedia_51369,Total Annihilation,1997-01-01,Cavedog Entertainment,Mac OS,
dbpedia_51371,Bubble Safari,2012-01-01,Zynga,Browser game,
dbpedia_51372,Pillars of Eternity,2015-01-01,Obsidian Entertainment,OS X,
dbpedia_51373,Gun.Smoke,1985-01-01,Capcom,ZX Spectrum,
dbpedia_51375,Wizardry: Labyrinth of Lost Souls,2020-01-01,Acquire (company),PS3,Wizardry
dbpedia_51376,Frostpunk,2019-01-01,11 bit studios,PlayStation 5,
dbpedia_51377,MLB Slugfest 2006,2006-01-01,,Xbox,MLB Slugfest
dbpedia_51378,R-Type,1987-01-01,Irem,IOS,List of R-Type video games
dbpedia_51379,Marvel Pinball,2013-01-01,Zen Studios,MacOS,
dbpedia_51380,Baldr Force,2005-01-01,Giga (brand),PS2,
dbpedia_51381,Dead by Daylight,2019-01-01,Behaviour Interactive,PS4,
dbpedia_51383,King Arthur: The Role-Playing Wargame,2009-01-01,NeocoreGames,Microsoft Windows,
dbpedia_51384,Dragon Slayer: The Legend of Heroes II,1992-01-01,Nihon Falcom,PC Engine CD,The Legend of Heroes
dbpedia_51385,Solvalou,,Namco,Arcade game,List of Xevious media
dbpedia_51386,Hello Kitty's Cube Frenzy,1999-01-01,PlayStation,Playstation,
dbpedia_51387,Legacy of Kain: Dead Sun,,Climax Studios,Xbox 360,Legacy of Kain
dbpedia_51388,Dragons of Flame (video game),,Atelier Double,Amstrad CPC,Dragonlance
dbpedia_51389,San Francisco Rush: Extreme Racing,1996-01-01,Atari Games,Arcade game,Rush (video game series)
dbpedia_51390,Shadow Madness,1999-01-01,Crave Entertainment,Microsoft Windows,
dbpedia_51392,Rabbids Big Bang,2013-01-01,Ubisoft Paris,Microsoft Windows,Raving Rabbids
dbpedia_51394,Lego Marvel Super Heroes,2021-01-01,Traveller's Tales,Switch,
dbpedia_51395,Wonder Boy: The Dragon's Trap,2019-01-01,,Switch,Wonder Boy
dbpedia_51397,Excitebike,2004-01-01,Nintendo Entertainment Analysis & Development,Arcade game,
dbpedia_51403,List of Fire Pro Wrestling games,1991-01-01,Human Entertainment,Arcade Game,Fire Pro Wrestling
dbpedia_51404,Street Fighter IV,2008-01-01,Capcom,Arcade game,Street Fighter
dbpedia_51405,Hugo (video game),,Interactive Television Entertainment,Windows,Hugo (series)
dbpedia_51406,Scaler (video game),2004-01-01,Behaviour Interactive,GameCube,
dbpedia_51407,Jumper: Griffin's Story (video game),2008-01-01,Redtribe,Xbox 360,
dbpedia_51409,SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,,Purple Lamp Studios,Android (operating system),SpongeBob SquarePants video games
dbpedia_51410,Ys VI: The Ark of Napishtim,2003-01-01,Nihon Falcom,,Ys (series)
dbpedia_51412,Star Trek Online,2010-01-01,Cryptic Studios,PS4,Star Trek
dbpedia_51413,Plants vs. Zombies: Garden Warfare 2,2016-01-01,PopCap Games,PS4,Plants vs. Zombies
dbpedia_51416,Scooby-Doo! Classic Creep Capers,2000-01-01,Digital Eclipse Software,Game Boy Color,
dbpedia_51418,Trollhunters: Defenders of Arcadia,2022-01-01,WayForward,Xbox One,
dbpedia_51419,Heavy Gear (video game),1997-01-01,Activision,Microsoft Windows,Heavy Gear
dbpedia_51420,Mark of the Ninja,2018-01-01,Klei Entertainment,OS X,
dbpedia_51422,Ultimate Mortal Kombat 3,1996-01-01,Electronic Arts,IOS,Mortal Kombat
dbpedia_51423,The Darkness II,2012-01-01,Digital Extremes,Xbox 360,The Darkness (comics)
dbpedia_51425,Zenonia,2010-01-01,Gamevil,DSiWare,
dbpedia_51427,Need for Speed: Carbon,2007-01-01,EA Canada,Xbox,Need for Speed
dbpedia_51429,Jurassic Park (Game Gear video game),,Sega,Master System,Jurassic Park video games
dbpedia_51430,Combat Flight Simulator 3: Battle for Europe,2002-01-01,Xbox Game Studios,Microsoft Windows,Microsoft Flight Simulator
dbpedia_51431,Valley (video game),2019-01-01,Blue Isle Studios,Microsoft Windows,
dbpedia_51432,Alone in the Dark (2008 video game),2008-01-01,Eden Games,PS2,Alone in the Dark
dbpedia_51434,Ninja Reflex,2008-01-01,Sanzaru Games,DS,
dbpedia_51435,Nights of Azure,2015-01-01,Gust Co. Ltd.,PS4,
dbpedia_51436,World Class Leader Board,,Access Software,Macintosh,Leader Board
dbpedia_51440,Mutant Mudds,2012-01-01,Renegade Kid,Switch,
dbpedia_51441,Bejeweled Stars,2016-01-01,PopCap Games,IOS,Bejeweled (series)
dbpedia_51442,Mega Mall Story,2019-01-01,Kairosoft,Switch,
dbpedia_51444,Advance Wars: Dual Strike,2005-01-01,Intelligent Systems,DS,Wars (series)
dbpedia_51445,Nintendo World Cup,1992-01-01,Technōs Japan,Nintendo Entertainment System,
dbpedia_51446,Atomic Bomberman,1997-01-01,Interplay Entertainment,Microsoft Windows,Bomberman
dbpedia_51447,Side Pocket 3,1997-01-01,Data East,Playstation,
dbpedia_51448,Tetris Worlds,2002-01-01,3d6 Games,Xbox,Tetris
dbpedia_51451,Final Fantasy IV,2009-01-01,Square (video game company),Microsoft Windows,Final Fantasy
dbpedia_51454,Bottom of the 9th,1996-01-01,Konami,Nintendo 64,
dbpedia_51456,FIFA International Soccer,1993-01-01,EA Canada,Sega CD,FIFA (video game series)
dbpedia_51460,Neighbours from Hell,2017-01-01,JoWooD,Android (operating system),
dbpedia_51462,Duke Nukem: Manhattan Project,2013-01-01,Sunstorm Interactive,Microsoft Windows,Duke Nukem
dbpedia_51464,Umihara Kawase,2009-01-01,Suzak Inc.,Super Nintendo,
dbpedia_51465,SimCity (1989 video game),1991-01-01,Babaroga (game company),X68000,SimCity
dbpedia_51467,The King's Bird,2018-01-01,Serenity Forge,Xbox One,
dbpedia_51469,Lego Marvel Super Heroes,2014-01-01,Traveller's Tales,Switch,
dbpedia_51470,The Bugs Bunny Crazy Castle,1989-01-01,Kemco,Nintendo Entertainment System,
dbpedia_51471,Cro-Mag Rally,2008-01-01,Pangea Software,Xbox 360,
dbpedia_51472,Harry Potter and the Deathly Hallows – Part 1 (video game),2010-01-01,EA Mobile,DS,Harry Potter video games
dbpedia_51473,Toki (video game),1989-01-01,Atari Corporation,Atari Lynx,
dbpedia_51474,Bomberman: Act Zero,2006-01-01,Hudson Soft,Xbox 360,Bomberman
dbpedia_51475,Carlos Sainz: World Rally Championship,1990-01-01,Zigurat (company),MSX,
dbpedia_51478,Reel Fishing,2011-01-01,Marvelous Entertainment,WiiWare,
dbpedia_51480,Assassin's Creed III,2012-01-01,Ubisoft Montreal,Wii U,Assassin's Creed
dbpedia_51483,Resident Evil 4,2005-01-01,Capcom Production Studio 4,Xbox 360,Resident Evil
dbpedia_51484,True Golf Classics: Waialae Country Club,1992-01-01,Technology and Entertainment Software,Super Nintendo,
dbpedia_51486,Broken Sword: The Sleeping Dragon,2003-01-01,Revolution Software,Xbox,Broken Sword
dbpedia_51488,Cars 2 (video game),2013-01-01,,PlayStation Portable,Cars (franchise)
dbpedia_51489,Toki (video game),1989-01-01,Sega,Amiga,
dbpedia_51491,Clu Clu Land,1984-01-01,Nintendo Research & Development 1,Arcade game,
dbpedia_51492,AND 1 Streetball,2006-01-01,Black Ops Entertainment,Xbox,
dbpedia_51493,Critter Crunch,2008-01-01,Capybara Games,Mac OS X,
dbpedia_51494,Earth Defense Force 2017,2006-01-01,Sandlot (company),Xbox 360,Earth Defense Force
dbpedia_51495,Scrabble (video game),1999-01-01,Runecraft,DS,
dbpedia_51496,Alpha Mission,1986-01-01,SNK,Famicom/Nintendo Entertainment System,
dbpedia_51498,Pajama Sam: No Need to Hide When It's Dark Outside,2008-01-01,Humongous Entertainment,Switch,
dbpedia_51501,Math Blaster Episode II: Secret of the Lost City,1994-01-01,Davidson & Associates,Microsoft Windows,Blaster Learning System
dbpedia_51502,Puss in Boots (video game),2011-01-01,ImaginEngine,PS3,
dbpedia_51503,Digimon World 2,2000-01-01,Bandai Entertainment Company,Playstation,List of Digimon video games
dbpedia_51504,Black/Matrix,2000-01-01,Flight-Plan (game developer),Sega Saturn,
dbpedia_51505,SimCity (1989 video game),1991-01-01,Nintendo Entertainment Analysis and Development,X68000,SimCity
dbpedia_51509,Firo & Klawd,1997-01-01,Blitz Games Studios,MS-DOS,
dbpedia_51511,Lemmings (video game),1993-01-01,3DO Interactive Multiplayer,FM Towns,
dbpedia_51514,List of Monster Jam video games,2003-01-01,Ubi Soft Barcelona,PS3,Monster Jam
dbpedia_51515,Doom (1993 video game),1994-01-01,Id Software,Switch,Doom (franchise)
dbpedia_51516,Naruto Shippuden: Ultimate Ninja Storm 2,2010-01-01,CyberConnect2,Microsoft Windows,Naruto: Ultimate Ninja
dbpedia_51517,Breach & Clear,2013-01-01,Mighty Rabbit Studios,Android (operating system),
dbpedia_51519,Madden NFL 25,2013-01-01,EA Tiburon,Xbox 360,Madden NFL
dbpedia_51522,Grid Autosport,2019-01-01,Feral Interactive,Linux,Grid (series)
dbpedia_51524,Mount & Blade: Warband,2014-01-01,TaleWorlds Entertainment,PS4,Mount & Blade (series)
dbpedia_51526,Rival Ball,2001-01-01,Longbow Games,Macintosh,
dbpedia_51529,Dragon Knight (video game),1995-01-01,NEC Avenue,MSX,Dragon Knight (series)
dbpedia_51531,Dawn of Mana,2006-01-01,Square Enix,PS2,Mana (series)
dbpedia_51532,One Hour One Life,2018-01-01,Jason Rohrer,Microsoft Windows,
dbpedia_51533,Syberia II,2017-01-01,MC2-Microïds,IOS,Syberia
dbpedia_51536,Broken Sword: The Shadow of the Templars,1998-01-01,Revolution Software,Game Boy Advance,Broken Sword
dbpedia_51537,James Bond 007: Nightfire,2003-01-01,Windows,Microsoft Windows,James Bond in video games
dbpedia_51538,Deal or No Deal (video game),2009-01-01,Cat Daddy Games,IOS,
dbpedia_51539,Transformers: Dark of the Moon (video game),2011-01-01,High Moon Studios,IOS,
dbpedia_51540,Brunswick Pro Bowling,2016-01-01,Xbox One,PS3,
dbpedia_51543,Bokosuka Wars,1985-01-01,ASCII (company),NEC PC-6001,
dbpedia_51544,Amped: Freestyle Snowboarding,2001-01-01,Indie Built,Xbox,
dbpedia_51545,Lunar: Silver Star Story Complete,2012-01-01,Game Arts,Sega Saturn,Lunar (series)
dbpedia_51547,TaleSpin (Capcom video game),1991-01-01,Capcom,Game Boy,TaleSpin
dbpedia_51550,Langrisser V: The End of Legend,1999-01-01,Masaya Games,Sega Saturn,Langrisser
dbpedia_51551,Spider-Man 3 (video game),2007-01-01,Vicarious Visions,DS,
dbpedia_51552,Dream Chronicles 2: The Eternal Maze,2008-01-01,,MacOS,Dream Chronicles (series)
dbpedia_51553,Little Nightmares II,2021-01-01,Tarsier Studios,Google Stadia,
dbpedia_51555,Beyond a Steel Sky,2020-01-01,Revolution Software,PS4,
dbpedia_51557,Star Wars: Galactic Battlegrounds,2001-01-01,LucasArts,Microsoft Windows,
dbpedia_51559,Time Crisis 3,2002-01-01,Nex Entertainment,Video arcade,Time Crisis
dbpedia_51560,Conflict: Desert Storm II,2003-01-01,Pivotal Games,GameCube,Conflict (series)
dbpedia_51561,Iron Man 2 (video game),2010-01-01,Gameloft,Xbox 360,
dbpedia_51562,Syberia: The World Before,2022-01-01,Microïds,PlayStation 5,Syberia
dbpedia_51563,Star Trek: Voyager – Elite Force,2000-01-01,Aspyr Media,PS2,Star Trek: Voyager
dbpedia_51566,Phoenix Wright: Ace Attorney,2012-01-01,Capcom Production Studio 4,3DS,Ace Attorney
dbpedia_51568,Metro Exodus,2021-01-01,4A Games,Amazon Luna,Metro (franchise)
dbpedia_51570,Space Invaders Extreme,2018-01-01,Taito,Personal computer,List of Space Invaders video games
dbpedia_51571,Zero Divide,1999-01-01,Zoom (video game company),Windows 95,
dbpedia_51573,Championship Manager: Season 99/00,1999-01-01,Sports Interactive,Microsoft Windows,Championship Manager
dbpedia_51574,Revelations: Persona,1996-01-01,Atlus,Playstation,Persona (series)
dbpedia_51577,Metal Gear Solid V: Ground Zeroes,2014-01-01,Kojima Productions,PS4,Metal Gear
dbpedia_51578,Worms World Party,2002-01-01,Team17,Windows Mobile,Worms (series)
dbpedia_51580,Pokémon Trading Card Game (video game),2001-01-01,Creatures (company),Game Boy Color,Pokémon (video game series)
dbpedia_51585,RayCrisis,2001-01-01,Taito,Android (operating system),
dbpedia_51587,Shining Force,2007-01-01,Camelot Software Planning,IOS (Apple),Shining (series)
dbpedia_51590,NFL GameDay (video game),,Sony Interactive Studios America,PlayStation,NFL GameDay (video game series)
dbpedia_51591,True Golf Classics: Waialae Country Club,1992-01-01,Technology and Entertainment Software,NEC PC9801,
dbpedia_51593,Dragon Slayer: The Legend of Heroes II,1992-01-01,Nihon Falcom,Mega Drive,The Legend of Heroes
dbpedia_51594,XCOM: Enemy Within,2016-01-01,Firaxis Games,IOS,XCOM
dbpedia_51595,You Don't Know Jack (2011 video game),2011-01-01,Webfoot Technologies,IOS,You Don't Know Jack (franchise)
dbpedia_51597,Blades of Time,2012-01-01,Gaijin Entertainment,MacOS,
dbpedia_51598,The Ant Bully (video game),2006-01-01,Artificial Mind and Movement,Game Boy Advance,
dbpedia_51599,Wii Fit U,2013-01-01,Ganbarion,Wii U,Wii (video game series)
dbpedia_51600,Bejeweled 2,2007-01-01,PopCap Games,Microsoft Windows,Bejeweled (series)
dbpedia_51601,Uno (video game),2008-01-01,Nintendo Switch,PlayStation Portable,Uno (card game)
dbpedia_51602,Hulk (video game),2003-01-01,Radical Entertainment,PS2,
dbpedia_51603,Sorcerer (video game),1985-01-01,Infocom,Amiga,
dbpedia_51606,Grid Runner,1996-01-01,Radical Entertainment,Playstation,
dbpedia_51607,Ark: Survival Evolved,2017-01-01,Studio Wildcard,Microsoft Windows,
dbpedia_51610,Mercs,2009-01-01,Sega,Master System,
dbpedia_51611,The Banner Saga,2018-01-01,Stoic Studio,Android (operating system),
dbpedia_51613,Burnout Revenge,2005-01-01,Criterion Games,Xbox,Burnout (series)
dbpedia_51615,Lock's Quest,2008-01-01,5th Cell,PS4,
dbpedia_51616,Rogue Trooper (video game),2017-01-01,Rebellion Developments,Microsoft Windows,
dbpedia_51617,3Xtreme,1999-01-01,989 Sports,Playstation,ESPN Extreme Games
dbpedia_51620,Ecco the Dolphin (video game),1994-01-01,Appaloosa Interactive,Master System,Ecco the Dolphin
dbpedia_51622,FX Fighter,1996-01-01,Argonaut Games,SNintendo Entertainment System,
dbpedia_51624,Soviet Strike,1996-01-01,Electronic Arts,Playstation,Strike (video game series)
dbpedia_51626,Mortal Kombat II,1994-01-01,Digital Eclipse,Amiga,Mortal Kombat
dbpedia_51627,Scrabble (video game),1999-01-01,Ubisoft Chengdu,Windows Mobile,
dbpedia_51630,Worlds of Ultima: The Savage Empire,2012-01-01,Origin Systems,Microsoft Windows,Ultima (series)
dbpedia_51631,The Bard's Tale (2004 video game),2012-01-01,InXile Entertainment,Ouya,The Bard's Tale
dbpedia_51633,Civilization VI: Rise and Fall,2018-01-01,Firaxis Games,MacOS,Civilization (series)
dbpedia_51635,Afterparty (video game),2019-01-01,Night School Studio,PS4,
dbpedia_51636,Aggressive Inline (video game),2002-01-01,Full Fat,PS2,
dbpedia_51638,Myst,1993-01-01,Alfa System,IOS,Myst (series)
dbpedia_51639,Harry Potter and the Deathly Hallows – Part 1 (video game),2010-01-01,EA Mobile,Microsoft Windows,Harry Potter video games
dbpedia_51641,Assassin's Creed Syndicate,2020-01-01,Ubisoft Quebec,Xbox One,Assassin's Creed
dbpedia_51642,Gateway (video game),,Legend Entertainment,DOS,Heechee
dbpedia_51643,Oddworld: Stranger's Wrath,2005-01-01,Oddworld Inhabitants,PlayStation Vita,Oddworld
dbpedia_51645,Fist of the North Star: Lost Paradise,2018-01-01,Ryu Ga Gotoku Studio,PS4,List of Fist of the North Star video games
dbpedia_51646,Star Wars Jedi: Fallen Order,2020-01-01,Respawn Entertainment,Google Stadia,
dbpedia_51647,Dead to Rights II,2005-01-01,PlayStation 2,Xbox,Dead to Rights (series)
dbpedia_51648,Putt-Putt Saves the Zoo,2011-01-01,Humongous Entertainment,Microsoft Windows,
dbpedia_51649,Ghostbusters (1984 video game),1984-01-01,Compile (company),Nintendo Entertainment System,List of Ghostbusters video games
dbpedia_51650,Princess Maker 2,2016-01-01,Gainax,PS2,Princess Maker
dbpedia_51651,Naval Ops: Warship Gunner,2003-01-01,Microcabin,PS2,
dbpedia_51653,Inazuma Eleven Strikers,2011-01-01,Quintet (company),Wii,Inazuma Eleven (series)
dbpedia_51654,Barnyard (video game),2006-01-01,Halfbrick,Wii,
dbpedia_51655,Run Like Hell (video game),2002-01-01,Interplay Entertainment,Xbox,
dbpedia_51657,Pro Evolution Soccer 6,2006-01-01,Konami,PlayStation Portable,Pro Evolution Soccer
dbpedia_51660,Anomaly: Warzone Earth,2011-01-01,11 bit studios,Xbox 360,
dbpedia_51661,American Pool,2002-01-01,Digicube,Playstation,
dbpedia_51663,Sam & Max Beyond Time and Space,2008-01-01,Telltale Games,,Sam & Max
dbpedia_51664,Sid Meier's Pirates! (2004 video game),2007-01-01,Firaxis Games,Xbox,
dbpedia_51665,Dragon Age: Inquisition – The Descent,2015-01-01,BioWare,PS4,Dragon Age
dbpedia_51668,Path of Exile,2020-01-01,Grinding Gear Games,Microsoft Windows,
dbpedia_51669,Army Men: Soldiers of Misfortune,2008-01-01,Big Blue Bubble,PS2,Army Men
dbpedia_51671,Army of Two: The 40th Day,2010-01-01,EA Montreal,Xbox 360,Army of Two (series)
dbpedia_51674,Virtua Fighter 3,1996-01-01,Sega AM2,Arcade game,Virtua Fighter (series)
dbpedia_51675,Road Blaster,2011-01-01,JVCKenwood Victor Entertainment,Sega Mega-CD,
dbpedia_51676,Theme Park (video game),1995-01-01,Krisalis Software,Amiga CD32,
dbpedia_51678,Dino Land,1991-01-01,Wolf Team,Sega Genesis,
dbpedia_51679,Densetsu no Stafy 4,2006-01-01,Tose (company),DS,
dbpedia_51680,Costume Quest,2013-01-01,Double Fine Productions,IOS,
dbpedia_51682,Timon & Pumbaa's Jungle Games,1998-01-01,7th Level,Classic Mac OS,The Lion King (franchise)
dbpedia_51683,Fatal Fury Special,1993-01-01,Japan Home Video,Sega CD,Fatal Fury
dbpedia_51684,Destiny post-release content,2015-01-01,Bungie,PS3,
dbpedia_51688,Might and Magic Book One: The Secret of the Inner Sanctum,1990-01-01,New World Computing,X68000,Might and Magic
dbpedia_51689,One Piece: Burning Blood,2016-01-01,Spike Chunsoft,PS4,List of One Piece video games
dbpedia_51690,Prison Tycoon,2006-01-01,Virtual Playground,Windows,
dbpedia_51691,Digital Devil Story: Megami Tensei,1995-01-01,Atlus,Super Famicom,Megami Tensei
dbpedia_51692,List of Monster Jam video games,2003-01-01,Inland Productions,PS2,Monster Jam
dbpedia_51693,Pro Evolution Soccer 2011,2011-01-01,Konami,Symbian,Pro Evolution Soccer
dbpedia_51694,Sega Soccer Slam,2003-01-01,EA Black Box,PS2,
dbpedia_51695,Art of Balance,2016-01-01,Shin'en Multimedia,Switch,
dbpedia_51696,Soulcalibur II,2002-01-01,Soulcalibur,PS3,Soulcalibur
dbpedia_51697,Yo! Noid,1990-01-01,Now Production,Nintendo Entertainment System,
dbpedia_51699,Volume (video game),2015-01-01,Mike Bithell,Microsoft Windows,
dbpedia_51700,Disney's Chicken Little: Ace in Action,2015-01-01,Wii,Microsoft Windows,
dbpedia_51701,Marathon 2: Durandal,1996-01-01,Freeverse,IOS,Marathon Trilogy
dbpedia_51702,Machinarium,2020-01-01,Amanita Design,Xbox One,
dbpedia_51703,Mega Man Legends (video game),2005-01-01,Capcom,Microsoft Windows,Mega Man Legends
dbpedia_51704,Another Code: R – A Journey into Lost Memories,2009-01-01,Cing,Wii,
dbpedia_51707,Metroid Prime 2: Echoes,2009-01-01,Retro Studios,Wii,Metroid
dbpedia_51709,Resident Evil Zero,2002-01-01,Capcom,PS4,Resident Evil
dbpedia_51712,Persona 5,2019-01-01,P-Studio,PS3,Persona (series)
dbpedia_51713,Super Xevious: GAMP no Nazo,1986-01-01,Tose (company),Family Computer,List of Xevious media
dbpedia_51715,Little Busters!,2008-01-01,Key (company),Switch,
dbpedia_51716,F-1 Dream,1989-01-01,Capcom,Arcade game,
dbpedia_51717,Street Fighter Alpha 3,2006-01-01,Crawfish Interactive,Game Boy Advance,Street Fighter
dbpedia_51719,Macross 30: Voices across the Galaxy,2013-01-01,Artdink,PS3,Macross
dbpedia_51723,Kerbal Space Program 2,2023-01-01,Take-Two Interactive,Microsoft Windows,
dbpedia_51724,Pinball FX 3,2017-01-01,Zen Studios,Microsoft Windows,
dbpedia_51728,Test Drive: Off-Road 3,1999-01-01,Microsoft Windows,Playstation,Test Drive (series)
dbpedia_51729,Syberia 3,2017-01-01,Microïds,Xbox One,Syberia
dbpedia_51730,Lego Star Wars: The Force Awakens,2016-01-01,TT Fusion,Xbox 360,Lego Star Wars (video game series)
dbpedia_51731,The SpongeBob SquarePants Movie (video game),2005-01-01,Aspyr,Microsoft Windows,SpongeBob SquarePants video games
dbpedia_51732,Lara Croft and the Guardian of Light,2010-01-01,Crystal Dynamics,Xbox 360,Tomb Raider
dbpedia_51734,Werewolf: The Apocalypse – Earthblood,2021-01-01,Cyanide (company),,Werewolf: The Apocalypse
dbpedia_51735,Duke Nukem 3D,2020-01-01,Nerve Software,Linux,Duke Nukem
dbpedia_51737,Donkey Kong (video game),2004-01-01,Nintendo Research & Development 1,TI-99/4A,Donkey Kong
dbpedia_51738,Cars Race-O-Rama,2009-01-01,Tantalus Media,DS,Cars (franchise)
dbpedia_51739,Time Ace,2007-01-01,The Farm 51,DS,
dbpedia_51741,Moe Chronicle,2017-01-01,Compile Heart,Switch,
dbpedia_51743,Creature Shock,1996-01-01,Blitz Games,MS-DOS,
dbpedia_51745,007: Quantum of Solace,2008-01-01,Beenox,Xbox 360,James Bond in video games
dbpedia_51746,Samurai Shodown V Special,2004-01-01,DotEmu,Microsoft Windows,Samurai Shodown
dbpedia_51747,Woody Woodpecker: Escape from Buzz Buzzard Park,2001-01-01,Eko Software,PS2,
dbpedia_51748,Star Trek: Hidden Evil,1999-01-01,Presto Studios,Microsoft Windows,
dbpedia_51750,San Francisco Rush 2049,2006-01-01,Atari Games,Arcade game,Rush (video game series)
dbpedia_51751,FIFA Street 2,2006-01-01,Exient Entertainment,DS,FIFA (video game series)
dbpedia_51752,BioShock Infinite: Burial at Sea,2014-01-01,Irrational Games,Microsoft Windows,BioShock (series)
dbpedia_51754,Super Street Fighter II Turbo,1994-01-01,Capcom,DOS,Street Fighter
dbpedia_51755,Mimpi Dreams,2018-01-01,Dreadlocks Ltd,Windows,
dbpedia_51756,Harry Potter and the Deathly Hallows – Part 2 (video game),2011-01-01,Full Fat,Wii,Harry Potter video games
dbpedia_51757,Super QuickHook,2010-01-01,,Android (operating system),Hook Champ
dbpedia_51759,Fable (upcoming video game),,Playground Games,Xbox Series X and Series S,Fable (video game series)
dbpedia_51761,Scrabble (video game),2002-01-01,Ubisoft Chengdu,IOS,
dbpedia_51762,Spyro: A Hero's Tail,2004-01-01,Eurocom Entertainment Software,GameCube,Spyro
dbpedia_51763,Putt-Putt Joins the Parade,1992-01-01,Humongous Entertainment,Mac OS,
dbpedia_51764,Earthworm Jim 2,2002-01-01,Rainbow Arts,Wii,Earthworm Jim (series)
dbpedia_51765,G-Force (video game),2009-01-01,Eurocom,PlayStation Portable,
dbpedia_51766,NBA Live 08,2007-01-01,Microsoft Windows,PlayStation Portable,NBA Live (video game series)
dbpedia_51767,The Legend of Zelda: The Wind Waker,2002-01-01,Nintendo Entertainment Analysis & Development,GameCube,The Legend of Zelda
dbpedia_51768,Growtopia,2012-01-01,Ubisoft Abu Dhabi,Microsoft Windows,
dbpedia_51770,Neighbours from Hell,2009-01-01,JoWooD,Xbox One,
dbpedia_51771,Clannad (video game),2011-01-01,Key (company),SoftBank Group,
dbpedia_51776,NBA Live 2004,2003-01-01,EA Canada,PS2,NBA Live (video game series)
dbpedia_51778,Custom Robo Arena,2006-01-01,Noise (company),DS,Custom Robo
dbpedia_51779,Ready 2 Rumble Boxing: Round 2,2000-01-01,Crawfish Interactive,Playstation,
dbpedia_51782,Super Puzzle Fighter II Turbo,2007-01-01,Capcom,Windows,
dbpedia_51788,4D Sports Boxing,1991-01-01,Distinctive Software,Amiga,
dbpedia_51789,List of Monster Jam video games,2016-01-01,Ubi Soft Barcelona,Google Stadia,Monster Jam
dbpedia_51791,Ben 10 Alien Force: Vilgax Attacks,2009-01-01,Wii,Xbox 360,Ben 10
dbpedia_51793,Lego Marvel Super Heroes,2014-01-01,Traveller's Tales,3DS,
dbpedia_51796,Crayon Physics Deluxe,2009-01-01,Petri Purho,MacOS,
dbpedia_51797,Arthur and the Invisibles (video game),2007-01-01,Etranges Libellules,Game Boy Advance,
dbpedia_51803,ZooCube,2004-01-01,Graphic State,Game Boy Advance,
dbpedia_51804,Putt-Putt Saves the Zoo,2014-01-01,Humongous Entertainment,DVD player,
dbpedia_51805,Kid Icarus,2004-01-01,Tose (company),Game Boy Advance,Kid Icarus (series)
dbpedia_51806,Another World (video game),2013-01-01,Interplay Entertainment,Atari ST,
dbpedia_51809,Captain Planet and the Planeteers (video game),1992-01-01,Chris Gray Enterprises,ZX Spectrum,
dbpedia_51810,Need for Speed: Carbon,2006-01-01,Exient Entertainment,GameCube,Need for Speed
dbpedia_51811,007: Quantum of Solace,2008-01-01,Beenox,Wii,James Bond in video games
dbpedia_51813,PDC World Championship Darts 2008,2008-01-01,Mere Mortals,PS2,
dbpedia_51814,Shift 2: Unleashed,2011-01-01,Straight Right,PS3,Need for Speed
dbpedia_51815,Neighbours from Hell,2005-01-01,JoWooD,IOS,
dbpedia_51818,Assault Heroes,2007-01-01,Wanako Games,Microsoft Windows,
dbpedia_51819,Star Wars Episode I: Battle for Naboo,2001-01-01,Factor 5,Nintendo 64,
dbpedia_51820,Antinomy of Common Flowers,2018-01-01,Twilight Frontier,PS4,Touhou Project
dbpedia_51821,Angry Birds (video game),2009-01-01,Rovio Entertainment,Wii U,Angry Birds
dbpedia_51823,Wolfenstein 3D,2016-01-01,Id Software,Apple IIGS,Wolfenstein
dbpedia_51826,The Darkness II,2012-01-01,Digital Extremes,PS3,The Darkness (comics)
dbpedia_51828,Moon Tycoon,2003-01-01,Legacy Interactive,Microsoft Windows,
dbpedia_51829,Jim Power: The Lost Dimension in 3-D,2015-01-01,Piko Interactive,PS4,
dbpedia_51830,List of Monster Jam video games,2014-01-01,Team6 Game Studios,Xbox One,Monster Jam
dbpedia_51831,Drome Racers,2002-01-01,Attention to Detail,PS2,
